			Date last viewed	Date inoculated	Culture name	Media	Media type	Growth	Replicate	location	Method	Purpose	Status	Notes	Image Files										
	EXAMPLE		9-Sep	30-Aug	E. coli + pETase	LB + IPTG + Amp.	Agar	++++	3	35°C Incubator	Streak inoculation loop	Subculturing E. coli	Incubating	Re-culture on the 25/09											
																	Morphology								
Isolate # :	ID:	Group #	Date last viewed	Date inoculated	Culture name	Media	Media type	Growth	Replicate	location	Method	Purpose	Status	Notes	Image Files	Isolate number 	Size ~mm	Shape	Elevation	Edge/margin	Colour	Surface	Opacity centre	Opacity outer	Observations
79	R2A 0g/L Salt ES M-1.2um-10^-8 ISO #79.3	Group 2	22/04/22	14/04/22	Marine water 1.2um filter	R2A	Agar	++++	2	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			79	1-2	circular	raised	erose	cream	wet	transulcent		
80	R2A 0g/L Salt ES M-1.2um-10^-8 ISO #80.3	Group 2	22/04/22	14/04/22	Marine water 1.2um filter	R2A	Agar	++++	2	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			80	1-2	circular	convex	entire	white	wet	transulcent		
81	TSA 15g/L Salt ES Salt ES M-0.22um-10^-2 ISO #81.3	Group 2	22/04/22	14/04/22	Marine water 0.22um filter	TSA	Agar	++++	2	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			81									
82	TSA 15g/L Salt ES Salt ES M-0.22um-10^-2 ISO #82.3	Group 2	22/04/22	14/04/22	Marine water 0.22um filter	TSA	Agar	++++	2	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			82									
83	TSA 15g/L Salt ES Salt ES M-0.22um-10^-2 ISO #83.3	Group 2	22/04/22	14/04/22	Marine water 0.22um filter	TSA	Agar	++++	2	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			83									
84	TSA 15g/L Salt ES Salt ES M-0.22um-10^-2 ISO #84.3	Group 2	22/04/22	14/04/22	Marine water 0.22um filter	TSA	Agar	++++	2	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			84									
85	TSA 15g/L Salt ES Salt ES M-0.22um-10^-2 ISO #85.3	Group 2	22/04/22	14/04/22	Marine water 0.22um filter	TSA	Agar	++++	2	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			85									
86	Nutrient 15g/L Salt ES M-0.22um-10^-0 ISO #86.3	Group 2	22/04/22	14/04/22	Marine water 0.22um filter	Nutrient	Agar	++++	2	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			86									
87	Nutrient 15g/L Salt ES M-0.22um-10^-0 ISO #87.3	Group 2	22/04/22	14/04/22	Marine water 0.22um filter	Nutrient	Agar	++++	2	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			87									
88	TSA15g/L Salt ES M-0.22um-10^-6 ISO # 88.3	Group 2	22/04/22	14/04/22	Marine water 0.22um filter	TSA	Agar	++++	2	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			88									
